Job Ref,Title,Employer,Salary,Posted Date,Closing Date,Job Type,Working Pattern,Pay Scheme,Pay Band,Department,Location,Description
163-3162E-10-20,Lead Nurse,"Barnsley Hospital NHS Foundation Trust, Barnsley","£38,890 to £44,503 pa",09/10/2020,25/10/2020,Permanent,• Full time,Agenda for change,7,General Medicine,Barnsley,"LEAD NURSE
WARD 23 – GENERAL MEDICINE
£38,890 - £44,503 per annum/pro rata (AfC Band 7)
37.5 hours per week - PERMANENT
  An exciting opportunity has arisen for a Lead Nurse for the General Medicine ward.
We are looking for a Registered Nurse with strong leadership, passion and
commitment to Lead this service.
For this role you will be a first level Registered Nurse with significant previous experience as a band 7 or 6 successfully leading change and motivating staff. You will have evidence of post registration education and development towards degree level. You will have evidence of management and leadership skills and driving forward the skills of the established nursing team.
You will have a vision of the patient experience and journey for people in your care and a plan to drive quality for your ward and team. Leading by example to all staff you will be leading.
It is essential that you have an in depth knowledge of current healthcare issues. You will be well motivated with the ability to manage personal emotions and stress.
For further information, please contact Kathryn Marvin, Matron on 01226 433937 or email k.marvin@nhs.net
Barnsley Hospital NHS Foundation Trust is committed to promoting equality of opportunity and fair treatment to all applicants regardless of race, nationality, ethnic origin, gender, marital status, mental or physical disability, religion or belief, sexual orientation, age or offending history.
PLEASE NOTE: all correspondence regarding this vacancy and the interview process will be sent by e-mail.  Therefore, you are advised to check your emails/NHS Jobs account regularly following the closing date.   To speed up the recruitment process please ensure that your references are appropriate and where possible you have provided an email address and telephone number.
The Trust is committed to safeguarding adults and children therefore if the post is subject to the Rehabilitation of Offenders Act (ROA) 1974 (Exceptions) Order 1975 (as amended) the successful candidate(s) will be subject to a criminal records check with the Disclosure and Barring Service (DBS).  The cost of the DBS must be met by the successful candidate(s) through salary deduction. DBS charges for adverts placed from 1st June are as follows:
  Please note that these charges are not applicable for roles band 5 and below.
  Standard Check:    £23.00 + Administration cost of £3.69 = deduction from salary as a one off payment.
Enhanced Check:  £40.00 + administration cost of £3.69 = £13.69 deduction from 1st months’ salary, £10.00 deduction from salary over following 3 months.
Closing date for applications: 25th October 2020
Interview to be held on: 9th November 2020
  Please refer to the attached additional document when completing your application, this will inform you about Values Based Recruitment at Barnsley Hospital NHS Foundation Trust.
 "
164-2459782-A,Staff nurse,"Nottingham University Hospitals NHS Trust, QMC, Nottingham","£24,907 - £30,615",15/10/2020,28/10/2020,Permanent,• Full time,Agenda for change,5,Surgery,"QMC, Nottingham","An exciting opportunity has arisen for a full time band 5 registered nurse to work on a newly established ward of enthusiastic workers providing care to surgical head and neck patients.
We are a 14 bedded ward supporting emergency head and neck patients with two high acuity airway beds. There will be a supernumerary period of working and staff are also supported by a dedicated clinical educator. Access to clinical supervision is provided and encouraged with a dedicated head and neck education course available as well as specialist airway training.
We are looking for highly motivated individuals who are wishing to expand their knowledge and development but also contribute to the building of a new ward and team. All staff are encouraged to get involved and work as part of a team. You should be responsive to patient feedback and be keen to innovate for improved patient experience, showing an ability to work alongside the multidisciplinary team.
The ward opened at the end of last year and provides a new and exciting opportunity to be part of a team keen to learn and develop. We are a friendly and supportive team who strive for excellence. This unique opportunity to be part of something new!
We welcome informal visits and enquiries.
For further details / informal visits contact:
Jessica Taylor (C24 ward sister)
Email: jessica.taylor@nuh.nhs.uk
Tel no: 07742439652"
842-ERE-955-20,Staff Nurse,"Derbyshire Community Health Services NHS Foundation Trust, Ilkeston, Ilkeston","£24,907 - £30,615 pa, pro rata",16/10/2020,29/10/2020,Permanent,• Full time,Agenda for change,5,Community Health Services,"Ilkeston, Ilkeston","How would you like to be part of an organisation rated in the top 100 organisations to work for in the country by the HSJ?
Are you able to demonstrate excellent clinical, communication and organisational skills with a willingness to work flexibly to meet the demands of the service?
If you are we want to hear from you!
We have an opportunity at Ilkeston Community Hospital to recruit a substantive post holder who is able to deliver high-quality care with excellent clinical skills.
DCHS is a forward-thinking organisation and we aspire to deliver excellent standards of care, professional development and offer many opportunities to progress.
If you are seeking a new opportunity, then we welcome your application.
For further details / informal visits contact:
Jenny Harrison, Matron, 07769 725994
or
Tracey Atkinson, 0115 930 5522, ext 54090"
279-SURW4464,Staff Nurse,"Western Sussex Hospitals NHS Foundation Trust, Worthing Hospital, Worthing","£24,907 - £30,615 £24,907 - £30,615 per annum pro",09/10/2020,22/10/2020,Permanent,• Full time,Agenda for change,5,Intensive care,"Worthing Hospital, Worthing","Are you looking for a new challenge and a chance for more education and development? An exciting opportunity has arisen for a qualified nurse to join our critical care team.

We are a busy 12-bedded Critical Care unit providing patient centered care at Level 2 and Level 3. Worthing Critical Care provides a comfortable working environment for our staff and patient care is enhanced by the use of a modern Information Technology operating a ‘paperless’ approach to patient care using our Clinical Information System.

We have a strong commitment to education and training with an on-site Educator. Our nursing team offers a progressive and supportive environment to develop individuals by utilizing in-house resources as well as strong links with the University of Brighton and Surrey. We are delighted to be embarking on a 'Patient First Improvement System' program enabling the team to further enhance the care we deliver.

If you are looking for a new challenge with on-going education and development, would like to develop your career further and are interested in joining our friendly multi-skilled team we would like to hear from you.

Applicants must have NMC registration. Acute nursing experience in an NHS hospital ward setting is essential. Experience within a critical care area would be an advantage but not essential
For further details / informal visits contact:
NameEmma D'ArcyJob titleMatron For Critical CareEmail addressemma.d'arcy2@nhs.netTelephone number01903205111 ext. 85898Additional contact information
For further information and to arrange an informal visit please contact Emma D'Arcy Matron For Critical Care. Tel: 01903 205111 Ext 85898 or email :emma.d'arcy2@nhs.net"
337-EH-3155AC,Staff Nurse - Clarke Ward,"London North West University Healthcare NHS Trust, Northwick Park Hospital, Harrow","£28,691 - £35,207 pa inc HCAS",20/10/2020,02/11/2020,Permanent,• Full time,Agenda for change,5,General Acute,"Northwick Park Hospital, Harrow","Clarke Ward is a Head and Neck / General surgical Unit, caring for Maxillo Facial, Head and Neck and ENT Patients and other General surgical patients . It is a fast paced unit requiring experience with complex airway management and high dependency nursing.

It is a fantastic opportunity to work with a well-established Multidisciplinary Team. The Core nursing team is dynamitic and welcoming.

We are looking for an individual to join our team who is enthusiastic in their work, enjoys teaching and is able to communicate effectively within the multidisciplinary team. A commitment to the provision of high quality individualised patient care in a changing environment is essential.
    For further details / informal visits contact:
Ruth Teshome,Clinical Nurse Manager
Email address: ruth.teshome@nhs.net
Telephone number:0208 869 2502
  Additional contact information
Matron Amabel Alipo-On
Contact telephone Number 020 8869 2502"
001-NMR360-1020,Sexual Health Nurse,"Cardiff and Vale University Health Board, Cardiff Royal Infirmary, Cardiff","£24,907 - £37,890 per annum",09/10/2020,22/10/2020,Fixed term (Until 31/03/2021),• Full time,Agenda for change,5,Sexual and Reproductive Health,"Cardiff Royal Infirmary, Cardiff","THIS POST IS FIXED TERM UNTIL 31/03/2021 DUE TO MEET THE NEEDS OF THE SERVICE.
An exciting opportunity has arisen for a conscientious, motivated and hard working individual to apply for the position of Sexual Health Nurse within the Department of Sexual Health.
The Department of Sexual Health is part of the Primary, Community and Intermediate Care Clinical Board of Cardiff and Vale University Health Board. The focus of the department is to provide sexual healthcare incorporating the screening and treatment of sexually transmitted infections, contraception, HIV care and health promotion to the population which includes a large student cohort.
The role combines the skills of both a Sexual Health Adviser and Nurse Practitioner and therefore requires someone who is flexible and has enhanced communication skills. The successful applicant will work in clinics based in Cardiff Royal Infirmary as well as Community clinics across Cardiff and the Vale of Glamorgan.
This is a Band 5/6 post dependent on experience.
The ability to speak Welsh is desirable for this post; English and/or Welsh speakers are equally welcome to apply.
Closing Date: 22/10/2020
For further details / informal visits contact: 
Name: Jen Lewis
Job title: Sister
Email address: jennifer.lewis4@wales.nhs.uk
Telephone number: 02920 335208 "
391-7747-TASS,Band 5 Staff Nurse,"Royal Free London NHS Foundation Trust, Tottenham Hale Dialysis unit, Tottenham Hale","£28,691 - £35,207 per annum inclusive of HCAS",15/10/2020,29/10/2020,Permanent,• Full time,Agenda for change,5,Renal Technology,"Tottenham Hale Dialysis unit, Tottenham Hale","We currently have a vacancy in Tottenham Hale Kidney and Diabetes Centre for Band 5 nurses with an interest in renal nursing to join a friendly and committed team on Tottenham Hale Dialysis Unit (a 47-station) Haemodialysis satellite units of the Royal Free NHS Foundation Trust.
Emphasis is placed on professional development, teamwork and clinical excellence and is all supported and encouraged on-site and through an educational network at the Royal Free Hospital. We can offer a structured career pathway with in-service training programs and clinical competencies. This post offers the opportunity to develop insight and gain knowledge and new clinical skills in Renal Nursing in a challenging environment. This includes a comprehensive induction and preceptorship programme,and the opportunity to undertake postgraduate university modules in Renal Nursing. Career progression pathways allow development in becoming a Clinical Nurse Specialist and the opportunity to undertake an MSc pathway in Renal Nursing.
If you are committed to delivering excellence in patient care and would like to work for an organisation that values its patients and staff whilst delivering world class expertise and local care then we would like to hear from you.

Should you be shortlisted for this post you will be invited to an interview, which will entail two stages: written drugs calculation and scenarios test; followed by face to face interviews. Date for interviews to be confirmed. Our Kidney Care Centres function on a Monday-Saturday on a three shift basis.

If you are committed to delivering excellence in patient care and would like to work for an organisation that values its patients and staff whilst delivering world class expertise and local care then we would like to hear from you.

Should you be shortlisted for this post you will be invited to an assessment day, which will entail two stages: written drugs calculation and scenarios test; followed by face to face interviews.
For further details/informal visits contact:
Name: Lizzy John
Job title: Senior Sister
Email address: lizzyjohn@nhs.net
Telephone number: 02088015334"
312-HH-CA-6563,Band 5 Staff Nurse - ACCU,"Royal Brompton and Harefield NHS Foundation Trust, Middlesex - Harefield Hospital","£27,936 to £34,629 pa inclusive of HCA",02/10/2020,30/10/2020,Permanent,• Full time,Agenda for change,5,Cardiology,Middlesex - Harefield Hospital,"This is a great opportunity to develop your clinical experience and skills in a diverse and fast-paced environment. As a band 5 staff nurse you will have the opportunity to provide specialist care to patients with a variety of cardiac conditions.
About us

Harefield Hospital’s Acute Cardiac Care Unit is a 40 bedded specialist cardiac centre caring for people who require cardiac investigations and interventions such as Angioplasty (Primary and Elective), Electrophysiology studies, TAVI, Ablations and Pacemakers/Devices. We also care for patients who have heart failure and those requiring end of life care. Our primary angioplasty service is one of the busiest in the country and we pride ourselves on the aftercare provided to patients following their MI.
The ward has two Practice Educators who provide excellent support and training. Each member of staff benefits from in-house training days and has the opportunity to apply for post graduate courses. The ward also benefits from input from specialist nurses, who are an excellent source of information, as you develop your knowledge.
ACCU has been shortlisted for the Nursing Times Student Nurse Placement of the Year (2018), further confirmation of the supportive environment and vast number of learning opportunities available on the ward.

About you

We need enthusiastic, open minded nurses who are keen to work at the leading edge of cardiothoracic practice in a lively, fast-paced ward setting. If you want to be a part of an exceptional team, share your experience with a supportive team and grow in the role, we would love to hear from you.
For an informal chat or to arrange a visit contact Martina Quinn
on extension 85302 or e-mail m.quinn2@rbht.nhs.uk, or Sister Jo Goodyer on extension 85644 or e-mail j.goodyer@rbht.nhs.uk"
352-OCO-NM462-2020,Night Nurse Practitioner,"The Pennine Acute Hospitals NHS Trust, TROH, Oldham","£38,890 - £44,503",19/10/2020,02/11/2020,Secondment,• Full time,Agenda for change,7,Medicine,"TROH, Oldham",Apply for this job
163-0384E-09-20,Staff Nurse,"Barnsley Hospital NHS Foundation Trust, Barnsley","£24,907 to £30,615 pa",24/09/2020,22/10/2020,Permanent,• Full time,Agenda for change,5,Accident and Emergency,Barnsley,"STAFF NURSE
EMERGENCY DEPARTMENT
£24,907 - £30,615 per annum/pro rata (AfC Band 5)
37.5 hours per week - PERMANENT
  If you are a newly qualified staff nurse please apply via our Trust Wide advert where you will have the opportunity to specify your area of choice, please call 01226 431694 or 01226 432312 for further details.
  COME AND MAKE A DIFFERENCE, COME AND JOIN OUR ENTHUSIASTIC AND COMMITTED TEAM AS AN EMERGENCY DEPARTMENT NURSE.
An exciting opportunity has arisen for registered Nurses to gain experience and contribute to the excellent standards of care we strive to deliver in our Emergency Department. The department sees in excess of 101,000 per annum, 24 hours a day, 7 days a week, working closely with other acute trusts in South Yorkshire. Our Emergency Department has expanded and therefore we are looking to recruit a professional and enthusiastic band 5 staff nurse. We take great pride in being part of a top performing trust and top performing Emergency Department.
What we can offer?
A structured induction programme to the Emergency Department with ongoing supervision supported by our Training and Development Facilitator. You will be helped to develop your skills and progress through the National Curriculum and Competency Framework for Emergency Nurses.
Plans to create a new 12-month Leadership apprenticeship to run alongside the preceptorship programme for Newly Qualified staff.
Possibilities of long-term career progression within the department with plans to develop pathways to the role of the Advanced Clinical Practitioner (ACP).
Funded places for courses such as Advanced Life Support (ALS), Paediatric Life Support (PILS) and trauma courses (TILS) (TNCC).
Flexible working schemes.
A friendly, supportive multi-professional team spirit that celebrates the achievements of our colleagues.
We welcome full time, flexible and part time applications from those of you with a genuine interest in Emergency Nursing. This is a permanent post for adult registered nurses.
Although post registration experience would be preferred, do not let this put you off. A caring, compassionate, patient centred approach are the most important qualities for us so if you are newly qualified and want a challenge, we will welcome you.
We are looking for nurses who are enthusiastic and motivated, who can demonstrate a kind and compassionate attitude who have a desire to provide effective and efficient Urgent and Emergency Care. With a strong nursing leadership, dedicated ED Matron and professional development nurses to guide and support you in conjunction with an allocated mentor. We provide high quality emergency care and give structured support and development to all our nurses including a tailored induction at the start.
For further information please contact Stacey Vodden, Lead Nurse on 01226 431374
Barnsley Hospital NHS Foundation Trust is committed to promoting equality of opportunity and fair treatment to all applicants regardless of race, nationality, ethnic origin, gender, marital status, mental or physical disability, religion or belief, sexual orientation, age or offending history.
PLEASE NOTE: all correspondence regarding this vacancy and the interview process will be sent by e-mail. Therefore, you are advised to check your emails/NHS Jobs account regularly following the closing date. To speed up the recruitment process please ensure that your references are appropriate and where possible you have provided an email address and telephone number.
The Trust is committed to safeguarding adults and children therefore if the post is subject to the Rehabilitation of Offenders Act (ROA) 1974 (Exceptions) Order 1975 (as amended) the successful candidate(s) will be subject to a criminal records check with the Disclosure and Barring Service (DBS). The cost of the DBS must be met by the successful candidate(s) through salary deduction. DBS charges for adverts placed from 1st June are as follows:
  Please note that these charges are not applicable for roles band 5 and below.
  Standard Check: £23.00 + Administration cost of £3.69 = deduction from salary as a one off payment.
Enhanced Check: £40.00 + administration cost of £3.69 = £13.69 deduction from 1st months’ salary, £10.00 deduction from salary over following 3 months.
Closing date for applications: 22nd October 2020
Interview to be held on: TBC
  Please refer to the attached additional document when completing your application, this will inform you about Values Based Recruitment at Barnsley Hospital NHS Foundation Trust.
 "
391-1746-BANK,Bank Emergency Nurse Practitioners Band 7 - Chase Farm,"Royal Free London NHS Foundation Trust, Chase Farm, London",Hourly Paid,14/10/2020,24/10/2020,Bank,• Agile/Home working,Agenda for change,7,Bank,"Chase Farm, London","Chase Farm Urgent Care Centre (UCC) are looking for dedicated autonomous Emergency Nurse/Physiotherapist/Care Practitioners with Primary Care experience and specialist knowledge in Minor Illness and Injury.
Your role will include working autonomously Seeing, Treating, Discharging, Referring and Rapid Clinical Assessment /Streaming of patients.
Chase Farm Urgent Care Centre is standalone currently averaging 100 plus patients per day and the service will continue to operate in the new state of the art, digital hospital which is due to open June 2018.
We are on an exciting journey to build on patient centred care and opportunities than ever before. As a department we can offer flexible family friendly working hours.
We offer competitive bank rates of pay.
For further details / informal visits contact:
Royal Free Temporary Staffing
Julia Chapman,
Matron for Barnet and Chase Farm Urgent Care Centre
020 83752327 Or 07951184318"
184-NARHOP73,Registered Nurse (Band 5),"Somerset NHS Foundation Trust, Ward 9, Taunton","£24,907 - £30,615 per annum, pro rata",20/10/2020,03/11/2020,Permanent,• Full time,Agenda for change,5,Cancer Support,"Ward 9, Taunton",Apply for this job
382-SUR151-20,Staff Nurse Ward 14,"Blackpool Teaching Hospitals NHS Foundation Trust, Blackpool Teaching Hospitals NHS Trust, Blackpool","£24,907 - £30,615 per annum",22/10/2020,03/11/2020,Fixed term (12 months),"• Full time
• Part time",Agenda for change,5,General Surgery,"Blackpool Teaching Hospitals NHS Trust, Blackpool","What happens next?
Please ensure that you read the person specification (attached below) BEFORE you begin the application, as your application WILL be screened using this specification.
Any invitation to attend an interview will be sent to you via the email address you provide, so please ensure this is correct. If you do not receive a response within three weeks, then you should assume that your application has not been successful on this occasion.
If you are currently employed by another NHS organisation and have been formally notified as being ""at risk"", please notify the recruitment team on 01253 957001 to highlight your application (providing, of course, you meet the essential criteria for the post
After applying via NHS Jobs, your submitted application will be imported into our preferred Third-party recruitment system. All subsequent information regarding your application will be generated from apps.trac.jobs. You will not be able to track the progress of your application or receive messages through the NHS Jobs website, and furthermore, as an employer, we will not be able to respond to any e-mails sent to us via the NHS Jobs website. By applying for this post you are agreeing to ""name of trust"" transferring the information contained in this application to its preferred applicant management system. If you are appointed to a post information will also be transferred into the national NHS Electronic Staff Records system.

Please note that in line with national NHS guidelines, this Trust operates a strict non-smoking policy. Members of staff are not permitted to smoke on Trust premises or grounds at any time, nor take breaks during working hours for the purposes of smoking.
The Trust does not offer interview expenses to shortlisted candidates unless indicated in the advert."
321-S-NURSE-B6-PRAC-A,Specialist Nurse Practitioner (Aural Care),"Oxford University Hospitals NHS Foundation Trust, John Radcliffe Hospital / Churchill, Oxford","£31,365 - £37,890 per Annum Pro rata",21/10/2020,15/11/2020,Permanent,• Full time,Agenda for change,6,Plastic Surgery,"John Radcliffe Hospital / Churchill, Oxford","No unsolicited recruitment agency telephone calls or emails.

Please note that this post is subject to a 6 month probationary period. If you currently hold a contract of employment with the Oxford University Hospitals, this will not apply. This statement does not apply to Medical staff or Executive Appointments.

Please make sure that you read the job description and person specification attached below, and that your statement in support reflects this as your application will be judged against these criteria.

When providing employment reference details please provide correct work related email addresses so references can be sought promptly when we are looking to progress your application. Your first referee will need to be your line manager, supervisor or clinical lead from your current or most recent post or place of study. This information is essential if your offer of employment is to be confirmed.

Candidates selected for interview will be contacted after the short listing process, usually within 2 weeks. (Please note that shortlisting times vary when applying for a Medical position within the Trust) The majority of correspondence will be via the e-recruitment system, therefore you should check your emails regularly including junk mail folders in web-based email products."
287-COR-184-20,Staff Nurse - Outpatients,"Liverpool University Hospitals NHS Foundation Trust, Outpatients Directorate LFT, Liverpool","£24,907 to £30,615 per annum",20/10/2020,30/10/2020,Permanent,• Full time,Agenda for change,5,Outpatients,"Outpatients Directorate LFT, Liverpool","We currently have a vacancy in our busy, friendly Outpatient Department working as part of the covid swabbing team. This will mean working seven days a week including some evening and weekends from 8am to 8pm. This role will include the swabbing of adults and children.
We are looking for individuals who are enthusiastic team players, fun, caring as well as hardworking to join our nursing team within the Liverpool Foundation Trust hospitals.
This nursing role involves being based in the covid swabbing team . With a view in the future to rotating and working throughout all specialities in Outpatients and managing patient care in environments such as orthopaedics, the breast unit, vascular and a variety of other general medical clinics. Experience in outpatients would be desirable, however newly qualified nurses will also be considered and full training can be provided.
If you are passionate about providing the highest standards of care to patients and if nothing but the best will do, we want to hear from you. In return we will provide a stimulating and challenging role for you .
The trust is a vibrant and exciting place to work, with a state of the art new hospital being built and we are proud of the reputation we have for providing the excellence in everything we do, we are forward thinking and will encourage you to contribute your ideas for change and improvement to ensure we continue to do our best. Our aspirations are to be in the top 20 percentile of trusts in terms of high performance and need the right staff to help us achieve this.
If you have excellent communication, organisation and delegation skills, and a passionate for providing the highest standards of patient care, we would welcome your application.
For an informal visit and / or discuss any questions about this job, please do not hesitate to contact us.
  Catherine Rees (outpatient sister) 0151-706-2611
Louise Rice (lead nurse for outpatients) 0151-706-3669
        For further details / informal visits contact:
NameCatherine ReesJob titleOutpatient clinic team leaderEmail addressCatherine.rees@liverpoolft.nhs.ukTelephone number0151 706 2611Additional contact information
Louise Rice (lead nurse for outpatients) 0151 706 3669"
321-SW1-UROL-NURS-B7,Urology Trainee Advanced Nurse Practitioner,"Oxford University Hospitals NHS Foundation Trust, internal, Oxford","£38,890 - £44,503 pa pro rata",12/10/2020,22/10/2020,Permanent,• Full time,Agenda for change,7,Administration,"internal, Oxford","No unsolicited recruitment agency telephone calls or emails.

Please note that this post is subject to a 6 month probationary period. If you currently hold a contract of employment with the Oxford University Hospitals, this will not apply. This statement does not apply to Medical staff or Executive Appointments.

Please make sure that you read the job description and person specification attached below, and that your statement in support reflects this as your application will be judged against these criteria.

When providing employment reference details please provide correct work related email addresses so references can be sought promptly when we are looking to progress your application. Your first referee will need to be your line manager, supervisor or clinical lead from your current or most recent post or place of study. This information is essential if your offer of employment is to be confirmed.

Candidates selected for interview will be contacted after the short listing process, usually within 2 weeks. (Please note that shortlisting times vary when applying for a Medical position within the Trust) The majority of correspondence will be via the e-recruitment system, therefore you should check your emails regularly including junk mail folders in web-based email products."
361-RN-2521533-B,Registered Nurse - ED - 6 Months Fixed Term,"East and North Hertfordshire NHS Trust, Lister Hospital, Hertfordshire","£24,907 - £30,615 per annum",12/10/2020,26/10/2020,Fixed term (6 month duration),• Full time,Agenda for change,5,Accident and Emergency,"Lister Hospital, Hertfordshire","Experienced Registered Nurses in Emergency Medicine

Due to the expansion of our Emergency Department and Urgent Treatment Centre we are looking to recruit highly motivated registered nurses to join our team. We have a number of vacancies for Band 5 Staff Nurses.
We are looking for experienced Nurses who are looking for opportunities to further develop their career and who possess excellent communication skills, strong team working skills and can evidence the delivery of good patient care.
If you are dynamic, enthusiastic and looking for the next challenge to help build further on our reputation as one of the safest and best hospitals we are looking for you.
You will be joining a dynamic, multi-disciplinary team in which Nurses are encouraged to be proactive. We also encourage training and other development opportunities and activities for staff.
The Lister Hospital Emergency Department (ED) serves the local community of East and North Hertfordshire. This is an exciting time to be joining our team as the Emergency Department has undergone major refurbishment and a new build which has almost doubled the size of our department. This has included investment of £19.5m and has resulted in the state of the art environment.
The Trust provides level 2 Trauma Unit service, a Stroke unit, has 2 Cardiac Cath Labs which provide 24 hour Primary PCI. The ED prides itself on providing high quality, compassionate care and a desire to be amongst the best.

Including in the expansion of new builds, the Acute Assessment Unit and ward have also been upgraded, this includes a 16 trolley spaces for direct GP heralded patients along with 2 ward areas for acute short stay medical admissions.
The East and North Hertfordshire NHS Trust is committed to its’ staff and additional benefits to joining us includes excellent annual leave entitlement, the NHS pension scheme, accommodation, shopping discounts, employee friendly benefits as well as further career development opportunities.
As part of the selection process you will be required to take a drug calculation assessment prior to interview.
NB Internal Applicants - please be aware that you can apply but Internal Transfer Scheme will apply
  For further details / informal visits contact:
Jackie Downes  Matron for Emergency department  jackie.downes@nhs.net  07967674020"
